Key Assumptions
"Scenario: Reference, Branch: Key Assumptions\MODFLOW\Simulaciones"
 
Branch,"Sim_A.P. Cabildo","Sim_A.P. Ligua","Sim_A.P. Papudo y Zapallar","Sim_A.P. Placilla","Sim_A.P. Valle Hermoso 1","Sim_A.P. Valle Hermoso 2","Sim_Asentamiento Alicahue","Sim_Asentamiento Bartolillo","Sim_Asentamiento Paihuen","Sim_Asentamiento Pililen","Sim_Asentamiento San Lorenzo","Sim_Asentamiento V. Aconcagua","Sim_Fundo El Molle","Sim_Fundo Montegrande","Sim_La Higuera","Sim_Pozo Dren Cabildo","Sim_Reserva La Vega"
"Sep 10 1980",204.773,62.546,18.1243,23.4279,69.8491,69.8491,674.547,467.218,565.683,449.875,276.842,418.096,353.654,158.755,97.6031,218.294,315.072
"Sep 17 1980",204.732,62.5085,18.1016,23.3822,69.8092,69.8092,674.529,467.195,565.657,449.843,276.802,418.098,353.653,158.705,97.5987,218.245,315.068
"Sep 24 1980",204.701,62.4692,18.0876,23.4149,69.7738,69.7738,674.513,467.173,565.637,449.813,276.763,418.101,353.652,158.679,97.5929,218.225,315.063
"Oct 1 1980",204.678,62.4321,18.09,23.4555,69.7546,69.7546,674.497,467.158,565.62,449.788,276.727,418.106,353.655,158.664,97.5879,218.218,315.061
"Oct 8 1980",204.667,62.3971,18.0887,23.474,69.7364,69.7364,674.482,467.137,565.607,449.762,276.688,418.108,353.656,158.666,97.5835,218.229,315.056
"Oct 15 1980",204.651,62.3606,18.0767,23.4669,69.7098,69.7098,674.467,467.114,565.592,449.735,276.649,418.11,353.657,158.654,97.5783,218.22,315.051
"Oct 22 1980",204.644,62.322,18.0678,23.4735,69.6849,69.6849,674.461,467.093,565.658,449.714,276.611,418.111,353.661,158.672,97.5726,218.242,315.045
"Oct 29 1980",204.637,62.2817,18.0596,23.4747,69.6605,69.6605,674.461,467.071,565.763,449.699,276.576,418.112,353.668,158.685,97.5664,218.255,315.039
"Nov 5 1980",204.631,62.2405,18.053,23.4826,69.6369,69.6369,674.466,467.051,565.894,449.69,276.543,418.113,353.679,158.695,97.5599,218.274,315.033
"Nov 12 1980",204.59,62.1986,18.0231,23.3007,69.6001,69.6001,674.445,467.031,565.729,449.663,276.51,418.113,353.681,158.599,97.5532,218.164,315.026
"Nov 19 1980",204.56,62.1561,18.0051,23.31,69.5652,69.5652,674.428,467.012,565.648,449.634,276.478,418.113,353.681,158.55,97.5465,218.12,315.02
"Nov 26 1980",204.528,62.1129,17.9861,23.2785,69.5301,69.5301,674.412,466.992,565.594,449.605,276.445,418.113,353.68,158.499,97.5398,218.077,315.013
"Dec 3 1980",204.5,62.0693,17.969,23.2654,69.4965,69.4965,674.397,466.972,565.553,449.578,276.41,418.113,353.678,158.457,97.5333,218.047,315.006
"Dec 10 1980",204.471,62.0252,17.9514,23.2423,69.4628,69.4628,674.382,466.952,565.52,449.552,276.375,418.112,353.676,158.41,97.527,218.012,314.992
"Dec 17 1980",204.445,61.981,17.9353,23.2279,69.4309,69.4309,674.367,466.932,565.491,449.527,276.339,418.111,353.675,158.371,97.521,217.986,314.979
"Dec 24 1980",204.422,61.9367,17.928,23.2605,69.401,69.401,674.352,466.912,565.465,449.503,276.302,418.109,353.674,158.339,97.5152,217.966,314.969
"Jan 1 1981",204.394,61.886,17.9064,23.2043,69.3652,69.3652,674.333,466.89,565.435,449.476,276.26,418.107,353.672,158.29,97.5088,217.93,314.959
